"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLC5PUS","197511","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197512","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197513","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197601","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197602","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197603","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197604","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197605","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197606","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197607","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197608","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197609","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197610","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197611","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197612","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197613","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197701","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197702","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197703","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197704","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197705","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197706","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197707","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197708","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197709","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197710","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197711","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197712","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197713","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197801","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197802","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197803","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197804","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197805","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197806","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197807","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197808","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197809","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197810","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197811","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197812","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197813","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
