loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.13089312613010406,0.36179155111312866,0.08447765558958054,0.2906503975391388
0.05321522429585457,0.23068425059318542,0.06994885951280594,0.264478474855423
0.05102004110813141,0.22587616741657257,0.07869970053434372,0.28053465485572815
0.050264324992895126,0.22419705986976624,0.08503316342830658,0.2916044592857361
0.042548768222332,0.20627352595329285,0.09049418568611145,0.30082252621650696
0.04140331596136093,0.20347805321216583,0.07558576762676239,0.27492865920066833
0.03962329775094986,0.199056014418602,0.07009130716323853,0.26474761962890625
0.03998551890254021,0.1999637931585312,0.07766260951757431,0.27868011593818665
0.041338738054037094,0.20331929624080658,0.07698829472064972,0.27746763825416565
0.03741455078125,0.1934284120798111,0.07900843024253845,0.2810843884944916
