loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.6721367239952087,0.8198394775390625,0.07311837375164032,0.2704041004180908
0.10502636432647705,0.3240777254104614,0.03432323783636093,0.18526531755924225
0.06077025085687637,0.24651622772216797,0.021406272426247597,0.14630882441997528
0.04644810035824776,0.21551820635795593,0.01672133430838585,0.1293109953403473
0.041709646582603455,0.20422939956188202,0.014907950535416603,0.12209811806678772
0.03954329341650009,0.1988549530506134,0.013667351566255093,0.11690744757652283
0.038696981966495514,0.19671548902988434,0.013013134710490704,0.11407512426376343
0.03820962458848953,0.1954728215932846,0.012137854471802711,0.11017192900180817
0.03786151111125946,0.1945803463459015,0.012306180782616138,0.11093322932720184
0.03752715140581131,0.19371925294399261,0.01192138995975256,0.1091851145029068
0.038314089179039,0.19573985040187836,0.01227608509361744,0.11079749464988708
0.037672434002161026,0.19409388303756714,0.012088877148926258,0.10994943231344223
0.03767787292599678,0.19410789012908936,0.012012599036097527,0.10960200428962708
0.03799877315759659,0.1949327439069748,0.011309579946100712,0.1063465103507042
0.03854593262076378,0.196331188082695,0.011044281534850597,0.10509178042411804
0.03779421001672745,0.19440732896327972,0.012024598196148872,0.10965672880411148
0.03847512602806091,0.1961507797241211,0.017067046836018562,0.130640909075737
0.037602365016937256,0.1939132958650589,0.013965805992484093,0.11817701160907745
0.039003629237413406,0.19749335944652557,0.016842801123857498,0.12977981567382812
0.037995755672454834,0.194924995303154,0.012414712458848953,0.11142133176326752
0.03854500874876976,0.19632883369922638,0.0117190545424819,0.1082545816898346
0.03803136944770813,0.19501632452011108,0.01631583459675312,0.12773345410823822
0.038174547255039215,0.19538307189941406,0.013508970849215984,0.11622809618711472
