"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLGBPUS","197610","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197611","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197612","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197613","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197701","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197702","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197703","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197704","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197705","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197706","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197707","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197708","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197709","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197710","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197711","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197712","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197713","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197801","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197802","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197803","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197804","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197805","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197806","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197807","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197808","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197809","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197810","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197811","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197812","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197813","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197901","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197902","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197903","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197904","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197905","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197906","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197907","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197908","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197909","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197910","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197911","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197912","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","197913","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198001","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198002","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198003","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198004","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198005","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198006","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198007","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198008","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198009","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198010","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198011","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198012","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198013","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198101","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198102","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198103","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198104","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198105","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198106","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198107","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198108","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198109","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198110","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198111","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198112","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198113","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198201","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198202","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198203","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198204","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198205","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198206","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198207","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198208","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198209","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198210","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198211","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198212","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198213","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198301","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198302","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198303","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198304","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198305","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198306","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198307","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198308","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198309","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198310","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198311","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198312","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198313","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198401","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198402","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198403","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198404","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198405","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198406","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198407","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198408","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198409","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198410","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198411","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
