label,type,time,value
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 07:00:00","40.51"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 08:00:00","45.82"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 09:00:00","42.82"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 10:00:00","43.04"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 11:00:00","42.41"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 12:00:00","42.06"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 13:00:00","40.61"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 14:00:00","37.76"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 15:00:00","37.57"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 16:00:00","36.55"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 17:00:00","41.21"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 18:00:00","45.2"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 19:00:00","43.62"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 20:00:00","36.56"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 21:00:00","35.18"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 22:00:00","32.89"
"Zone J - NEW YORK CITY (DA)","price","2020-10-30 23:00:00","30.32"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 00:00:00","29.67"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 01:00:00","25.27"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 02:00:00","24.9"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 03:00:00","21.49"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 04:00:00","23.82"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 05:00:00","24.53"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 06:00:00","25.16"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 07:00:00","31.84"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 08:00:00","39.61"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 09:00:00","33.05"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 10:00:00","35.83"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 11:00:00","29.56"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 12:00:00","29.63"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 13:00:00","25.97"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 14:00:00","23.27"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 15:00:00","21.1"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 16:00:00","20.97"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 17:00:00","27.74"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 18:00:00","24.67"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 19:00:00","24.87"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 20:00:00","20.96"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 21:00:00","16.49"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 22:00:00","14.62"
"Zone J - NEW YORK CITY (DA)","price","2020-10-31 23:00:00","12.25"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 00:00:00","6.2"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 01:00:00","5.71"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 01:01:00","5.58"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 02:00:00","5.67"
