loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.09490872174501419,0.30807262659072876,0.13599522411823273,0.36877530813217163
0.032732028514146805,0.18091997504234314,0.1256898045539856,0.3545275926589966
0.026668895035982132,0.16330614686012268,0.12366706877946854,0.3516632318496704
0.021776318550109863,0.147568017244339,0.12184876948595047,0.34906843304634094
0.018738677725195885,0.1368892937898636,0.12223002314567566,0.34961411356925964
0.017135348170995712,0.13090206682682037,0.13446268439292908,0.36669155955314636
0.015507204458117485,0.1245279312133789,0.13734129071235657,0.3705958127975464
0.014784125611186028,0.1215900108218193,0.13437005877494812,0.3665652275085449
0.014090295881032944,0.11870254576206207,0.13902126252651215,0.372855544090271
0.013365330174565315,0.11560852080583572,0.1399826854467392,0.374142587184906
0.013248528353869915,0.11510224640369415,0.13928453624248505,0.3732084035873413
0.012556584551930428,0.1120561808347702,0.14420010149478912,0.37973693013191223
