loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.11132413148880005,0.33365267515182495,0.15026052296161652,0.3876345753669739
0.0397450290620327,0.19936153292655945,0.12026432901620865,0.34679147601127625
0.03411176800727844,0.18469370901584625,0.11888016015291214,0.3447900116443634
0.030809544026851654,0.17552649974822998,0.10965768247842789,0.3311460018157959
0.02845178171992302,0.16867657005786896,0.10761360824108124,0.3280450999736786
0.026690516620874405,0.16337227821350098,0.11179222166538239,0.3343534767627716
0.024973822757601738,0.15803107619285583,0.12038419395685196,0.3469642400741577
0.024005036801099777,0.1549355834722519,0.11393219977617264,0.3375384211540222
0.022423971444368362,0.1497463881969452,0.11483214795589447,0.3388689458370209
0.02173599787056446,0.1474313586950302,0.11915025860071182,0.34518149495124817
0.0205098744481802,0.14321266114711761,0.1256755143404007,0.3545074462890625
0.0210318174213171,0.14502348005771637,0.11995112150907516,0.3463395833969116
0.019897179678082466,0.1410573571920395,0.13229791820049286,0.3637278378009796
