loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.10715831816196442,0.3273504376411438,0.07953500747680664,0.2820195257663727
0.05419948324561119,0.23280782997608185,0.07268330454826355,0.26959842443466187
0.04747697710990906,0.217892125248909,0.07499350607395172,0.2738494277000427
0.044164177030324936,0.2101527452468872,0.061419710516929626,0.24783000349998474
0.04368221387267113,0.20900289714336395,0.06581055372953415,0.25653567910194397
0.042528185993433,0.20622363686561584,0.05913124978542328,0.2431691735982895
0.041622016578912735,0.20401474833488464,0.06697540730237961,0.2587960660457611
0.041708752512931824,0.20422720909118652,0.06304337829351425,0.25108441710472107
0.040415406227111816,0.20103582739830017,0.07886967062950134,0.28083744645118713
0.0403309091925621,0.20082557201385498,0.06303475797176361,0.25106725096702576
0.038170699030160904,0.19537323713302612,0.06557819992303848,0.2560824155807495
0.03960590437054634,0.19901232421398163,0.070252925157547,0.2650526762008667
0.03817875683307648,0.19539384543895721,0.06297936290502548,0.2509568929672241
0.03750285878777504,0.1936565488576889,0.08141393214464188,0.28533127903938293
