loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.3055312931537628,0.5527487993240356,0.9102293848991394,0.9540595412254333
0.08218849450349808,0.28668543696403503,0.6171137094497681,0.7855657935142517
0.051512304693460464,0.22696322202682495,0.4512496888637543,0.6717512011528015
0.040247537195682526,0.20061789453029633,0.3665662109851837,0.6054470539093018
0.03391119837760925,0.18414995074272156,0.3493603467941284,0.5910671949386597
0.028599897399544716,0.16911502182483673,0.35690146684646606,0.5974122881889343
0.02705969661474228,0.16449829936027527,0.34647220373153687,0.5886188745498657
0.024530846625566483,0.1566232293844223,0.3317347764968872,0.5759642720222473
0.022852906957268715,0.15117177367210388,0.3280002772808075,0.5727130770683289
0.022339096292853355,0.14946268498897552,0.3531942367553711,0.5943014621734619
0.02063365839421749,0.14364424347877502,0.32973745465278625,0.5742276906967163
0.019504142925143242,0.1396571695804596,0.3483969271183014,0.590251624584198
0.018801776692271233,0.1371195912361145,0.3263871669769287,0.5713030695915222
0.01798812299966812,0.13411983847618103,0.3446463644504547,0.5870658755302429
0.017112543806433678,0.13081495463848114,0.34475311636924744,0.5871568322181702
0.01717734895646572,0.13106240332126617,0.3334660828113556,0.5774651765823364
0.017222756519913673,0.1312355250120163,0.3607722222805023,0.6006431579589844
0.015321258455514908,0.12377908825874329,0.3518069088459015,0.5931331515312195
0.015143407508730888,0.12305855751037598,0.35586127638816833,0.5965411067008972
0.014431693591177464,0.12013198435306549,0.35240378975868225,0.5936359763145447
0.015452106483280659,0.12430649250745773,0.37050890922546387,0.608694314956665
