loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.15614484250545502,0.39515167474746704,0.09269566833972931,0.3044596314430237
0.051938895136117935,0.22790107131004333,0.11126042157411575,0.33355721831321716
0.047942742705345154,0.21895831823349,0.0699685737490654,0.2645157277584076
0.04237788915634155,0.20585890114307404,0.06818088889122009,0.2611147165298462
0.0426236055791378,0.20645485818386078,0.06505271792411804,0.2550543546676636
0.04153234884142876,0.20379486680030823,0.0727783665060997,0.2697746455669403
0.04217759519815445,0.20537184178829193,0.07529839873313904,0.2744055390357971
0.03984837979078293,0.1996205896139145,0.06655500829219818,0.2579825818538666
0.04060950130224228,0.2015179991722107,0.08229571580886841,0.2868722975254059
0.03733111172914505,0.1932126134634018,0.07293983548879623,0.2700737714767456
0.04015699028968811,0.20039209723472595,0.06355578452348709,0.25210273265838623
0.03689386323094368,0.19207775592803955,0.0671560987830162,0.25914493203163147
0.037089988589286804,0.19258761405944824,0.07398765534162521,0.27200672030448914
0.0385536253452301,0.19635076820850372,0.06641705334186554,0.2577150762081146
0.03862415626645088,0.1965302973985672,0.0730295181274414,0.2702397406101227
0.03466401249170303,0.18618273735046387,0.07660433650016785,0.27677488327026367
0.03443441167473793,0.18556511402130127,0.07788348942995071,0.27907612919807434
0.03656046837568283,0.1912079155445099,0.09931051731109619,0.3151357173919678
0.03336838632822037,0.18267016112804413,0.08154873549938202,0.28556740283966064
