loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.11523712426424026,0.33946600556373596,0.14884865283966064,0.385809063911438
0.03151128068566322,0.17751416563987732,0.12192420661449432,0.34917646646499634
0.023849664255976677,0.15443333983421326,0.13179901242256165,0.36304137110710144
0.019403371959924698,0.13929598033428192,0.1282072216272354,0.35806038975715637
0.016979115083813667,0.13030391931533813,0.13841798901557922,0.37204569578170776
0.015020119026303291,0.12255661934614182,0.14573366940021515,0.38175079226493835
0.013738889247179031,0.11721298098564148,0.14852546155452728,0.385390043258667
0.012834470719099045,0.11328933387994766,0.15342558920383453,0.3916957378387451
0.012141426093876362,0.11018813401460648,0.1532592922449112,0.39148345589637756
0.011320666410028934,0.10639860481023788,0.1599826067686081,0.3999782204627991
