loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.31651604175567627,0.5625975728034973,0.1070527583360672,0.327189177274704
0.0593450590968132,0.24360841512680054,0.06277509033679962,0.2505495846271515
0.048835430294275284,0.22098739445209503,0.055745288729667664,0.23610439896583557
0.04842444509267807,0.22005555033683777,0.05641162022948265,0.2375113070011139
0.048526085913181305,0.22028636932373047,0.06421323120594025,0.25340330600738525
0.049572017043828964,0.2226477414369583,0.05800331011414528,0.24083876609802246
0.0493525005877018,0.22215422987937927,0.05652950704097748,0.23775935173034668
0.048784900456666946,0.22087304294109344,0.057237960398197174,0.23924456536769867
0.049736447632312775,0.22301669418811798,0.058320578187704086,0.24149653315544128
0.05012882873415947,0.22389468550682068,0.05701614171266556,0.23878052830696106
0.04944159835577011,0.22235466539859772,0.05991921201348305,0.24478401243686676
