loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.2925296425819397,0.540860116481781,0.11515887081623077,0.3393506705760956
0.1877620667219162,0.433315247297287,0.11152977496385574,0.33396074175834656
0.15087546408176422,0.38842687010765076,0.11498802900314331,0.33909887075424194
0.12176890671253204,0.34895405173301697,0.10842374712228775,0.3292776346206665
0.10819479078054428,0.32892972230911255,0.11484376341104507,0.3388860821723938
0.09771478176116943,0.31259360909461975,0.11142483353614807,0.33380359411239624
0.08848558366298676,0.2974652051925659,0.11487141996622086,0.33892685174942017
0.08032270520925522,0.2834126055240631,0.11112096160650253,0.3333480954170227
0.07767678052186966,0.27870553731918335,0.1290944516658783,0.35929712653160095
0.0714719295501709,0.26734238862991333,0.1103169396519661,0.3321399390697479
0.06664741039276123,0.25816163420677185,0.10848569869995117,0.3293716609477997
0.06448537856340408,0.2539397180080414,0.11256822198629379,0.3355118930339813
